y-m-d_hr:mn:sc,moisture level (50-100mm),temperature 1,light level 1,waterIsOn,moisture level (Vegetronix @ 50mm)
2010-8-17_22:55,370,43,52,0,422
2010-8-17_23:10,366,43,52,0,420
2010-8-17_23:25,364,43,52,0,421
2010-8-17_23:40,364,43,52,0,419
2010-8-17_23:55,361,43,53,0,421
2010-8-18_0:16,358,42,52,0,421
2010-8-18_0:31,356,42,53,0,420
2010-8-18_0:46,351,42,53,0,416
2010-8-18_1:1,351,42,53,0,420
2010-8-18_1:16,347,42,53,0,420
2010-8-18_1:31,346,42,53,0,417
2010-8-18_1:46,343,42,53,0,422
2010-8-18_2:1,339,42,53,0,420
2010-8-18_2:16,338,42,53,0,419
2010-8-18_2:31,336,41,53,0,421
2010-8-18_2:46,334,42,53,0,420
2010-8-18_3:1,332,42,54,0,420
2010-8-18_3:16,330,42,53,0,416
2010-8-18_3:31,330,41,53,0,415
2010-8-18_3:46,329,41,53,0,415
2010-8-18_4:1,328,42,53,0,412
2010-8-18_4:16,323,41,53,0,415
2010-8-18_4:31,322,41,53,0,414
2010-8-18_4:46,320,41,53,0,415
2010-8-18_5:1,321,41,53,0,416
2010-8-18_5:16,318,41,53,0,416
2010-8-18_5:31,319,41,53,0,416
2010-8-18_5:46,316,41,55,0,415
2010-8-18_6:1,315,41,71,0,414
2010-8-18_6:16,314,41,96,0,416
2010-8-18_6:31,312,41,146,0,377
2010-8-18_6:46,310,41,194,0,377
2010-8-18_7:1,308,41,207,0,376
2010-8-18_7:16,309,41,300,0,378
2010-8-18_7:31,307,41,386,0,380
2010-8-18_7:46,307,42,464,0,372
2010-8-18_8:1,307,42,474,0,362
2010-8-18_8:16,305,41,551,0,367
2010-8-18_8:31,304,41,588,0,379
2010-8-18_8:46,303,41,608,0,376
2010-8-18_9:1,304,42,681,0,365
2010-8-18_9:16,298,42,710,0,385
2010-8-18_9:31,300,42,715,0,384
2010-8-18_9:46,301,41,736,0,373
2010-8-18_10:1,298,42,768,0,371
2010-8-18_10:16,295,43,727,0,375
2010-8-18_10:31,294,42,741,0,371
2010-8-18_10:46,295,43,810,0,368
2010-8-18_11:1,292,43,788,0,366
2010-8-18_11:16,293,43,766,0,367
2010-8-18_11:31,290,43,824,0,379
2010-8-18_11:46,286,44,790,0,372
2010-8-18_12:1,286,43,759,0,371
2010-8-18_12:16,289,44,774,0,374
2010-8-18_12:31,288,44,827,0,368
2010-8-18_12:46,283,44,902,0,372
2010-8-18_13:1,278,45,876,0,374
2010-8-18_13:16,275,46,861,0,367
2010-8-18_13:31,276,45,909,0,366
2010-8-18_13:46,276,45,851,0,367
2010-8-18_14:1,278,45,901,0,365
2010-8-18_14:16,279,45,818,0,364
2010-8-18_14:31,278,45,868,0,362
2010-8-18_14:46,278,45,791,0,362
2010-8-18_15:1,276,46,848,0,368
2010-8-18_15:16,272,45,797,0,360
2010-8-18_15:31,270,46,739,0,360
2010-8-18_15:46,270,45,674,0,362
2010-8-18_16:1,266,44,620,0,357
2010-8-18_16:16,265,44,625,0,365
2010-8-18_16:31,264,44,641,0,348
2010-8-18_16:46,262,44,626,0,359
2010-8-18_17:1,260,44,558,0,352
2010-8-18_17:16,256,44,595,0,351
2010-8-18_17:31,254,44,593,0,355
2010-8-18_17:46,253,44,622,0,357
