y-m-d_hr:mn:sc,moisture level (50-100mm),temperature 1,light level 1,waterIsOn,moisture level (Vegetronix @ 50mm)
2010-8-28_17:8,261,44,671,0,425
2010-8-28_17:23,261,43,656,0,447
2010-8-28_17:38,259,44,643,0,433
2010-8-28_17:53,257,43,628,0,429
2010-8-28_18:8,258,44,594,0,427
2010-8-28_18:23,256,44,572,0,442
2010-8-28_18:38,256,43,583,0,431
2010-8-28_18:53,255,43,476,0,417
2010-8-28_19:8,255,43,372,0,424
2010-8-28_19:23,254,43,265,0,426
2010-8-28_19:38,252,43,155,0,423
2010-8-28_19:53,248,43,76,0,427
2010-8-28_20:8,246,42,52,0,471
2010-8-28_20:23,245,42,49,0,472
2010-8-28_20:38,235,42,48,0,471
2010-8-28_20:53,235,42,49,0,473
2010-8-28_21:8,233,41,49,0,471
2010-8-28_21:23,233,42,50,0,468
2010-8-28_21:38,230,42,53,1,459
2010-8-28_21:53,224,41,54,1,477
2010-8-28_22:8,219,40,53,1,566
2010-8-28_22:23,214,41,54,1,589
2010-8-28_22:38,234,41,54,1,602
2010-8-28_22:53,287,41,54,1,601
2010-8-28_23:8,458,41,55,1,601
2010-8-28_23:23,523,41,54,1,601
2010-8-28_23:38,571,41,55,1,599
2010-8-28_23:53,580,40,56,1,600
2010-8-29_0:8,592,41,53,0,600
2010-8-29_0:23,581,42,51,0,599
2010-8-29_0:38,571,41,53,0,601
2010-8-29_0:53,570,41,53,0,600
2010-8-29_1:8,567,41,53,0,599
2010-8-29_1:23,564,41,53,0,600
2010-8-29_1:38,561,41,53,0,596
2010-8-29_1:53,559,41,53,0,595
2010-8-29_2:8,556,41,53,0,595
2010-8-29_2:23,556,40,54,0,594
2010-8-29_2:38,555,40,53,0,596
2010-8-29_2:53,555,40,53,0,594
2010-8-29_3:8,553,40,53,0,594
2010-8-29_3:23,551,40,53,0,594
2010-8-29_3:38,551,40,53,0,594
2010-8-29_3:53,549,40,53,0,592
2010-8-29_4:8,552,40,53,0,596
2010-8-29_4:23,548,40,53,0,590
2010-8-29_4:38,547,40,53,0,591
2010-8-29_4:53,547,39,53,0,590
2010-8-29_5:8,547,40,52,0,587
2010-8-29_5:23,544,39,52,0,589
2010-8-29_5:38,542,39,53,0,591
2010-8-29_5:53,542,39,54,0,587
2010-8-29_6:8,540,39,70,0,585
2010-8-29_6:23,540,40,141,0,546
2010-8-29_6:38,539,39,244,0,539
2010-8-29_6:53,536,39,323,0,536
2010-8-29_7:8,539,39,376,0,540
2010-8-29_7:23,538,39,425,0,540
2010-8-29_7:38,536,39,452,0,526
2010-8-29_7:53,536,39,482,0,528
2010-8-29_8:8,538,39,517,0,516
2010-8-29_8:23,535,39,580,0,527
2010-8-29_8:38,535,39,732,0,538
2010-8-29_8:53,538,40,903,0,544
2010-8-29_9:8,536,41,901,0,537
2010-8-29_9:23,539,42,905,0,542
2010-8-29_9:38,539,43,913,0,534
2010-8-29_9:53,541,44,918,0,528
2010-8-29_10:8,542,45,909,0,533
2010-8-29_10:23,543,44,875,0,542
2010-8-29_10:38,546,43,823,0,536
2010-8-29_10:53,545,43,839,0,532
2010-8-29_11:8,544,44,894,0,534
2010-8-29_11:23,541,46,903,0,555
2010-8-29_11:38,539,47,907,0,542
2010-8-29_11:53,541,49,907,0,531
2010-8-29_12:8,539,50,902,0,543
2010-8-29_12:23,542,51,903,0,530
2010-8-29_12:38,545,52,903,0,538
2010-8-29_12:53,548,52,903,0,540
2010-8-29_13:8,548,51,906,0,537
2010-8-29_13:23,550,50,906,0,542
2010-8-29_13:38,549,49,902,0,531
2010-8-29_13:53,547,49,889,0,537
2010-8-29_14:8,544,49,888,0,537
2010-8-29_14:23,539,48,858,0,531
2010-8-29_14:38,539,48,838,0,535
2010-8-29_14:53,533,47,820,0,530
2010-8-29_15:8,528,47,795,0,542
2010-8-29_15:23,525,47,787,0,531
2010-8-29_15:38,525,47,790,0,534
2010-8-29_15:53,522,47,744,0,523
2010-8-29_16:8,518,47,732,0,526
2010-8-29_16:23,515,46,716,0,520
2010-8-29_16:38,511,46,721,0,520
2010-8-29_16:53,508,46,684,0,522
2010-8-29_17:8,508,46,667,0,513
2010-8-29_17:23,504,46,657,0,522
2010-8-29_17:38,502,46,641,0,527
2010-8-29_17:53,500,46,625,0,532
2010-8-29_18:8,501,46,591,0,543
2010-8-29_18:23,498,45,566,0,530
2010-8-29_18:38,498,46,584,0,526
2010-8-29_18:53,498,46,457,0,538
2010-8-29_19:8,498,46,364,0,538
2010-8-29_19:23,498,45,252,0,543
2010-8-29_19:38,499,45,141,0,533
2010-8-29_19:53,497,45,71,0,534
2010-8-29_20:8,498,45,52,0,585
2010-8-29_20:23,499,44,49,0,586
2010-8-29_20:38,499,44,48,0,585
2010-8-29_20:53,500,44,49,0,583
2010-8-29_21:8,499,44,49,0,586
2010-8-29_21:23,501,44,49,0,583
2010-8-29_21:38,501,44,49,0,585
2010-8-29_21:53,502,44,50,0,583
2010-8-29_22:8,500,44,50,0,585
2010-8-29_22:23,498,43,52,0,584
2010-8-29_22:38,497,43,52,0,585
2010-8-29_22:53,497,43,52,0,576
2010-8-29_23:8,497,43,52,0,580
2010-8-29_23:23,497,43,51,0,577
2010-8-29_23:38,496,43,52,0,575
2010-8-29_23:53,494,43,52,0,568
2010-8-30_0:8,493,42,52,0,572
2010-8-30_0:23,491,42,52,0,574
2010-8-30_0:38,490,42,52,0,568
2010-8-30_0:53,489,42,53,0,577
2010-8-30_1:8,487,42,53,0,569
2010-8-30_1:23,485,42,53,0,570
2010-8-30_1:38,484,42,53,0,570
2010-8-30_1:53,484,42,53,0,566
2010-8-30_2:8,482,42,53,0,565
2010-8-30_2:23,480,41,54,0,566
2010-8-30_2:38,478,42,53,0,569
2010-8-30_2:53,477,41,53,0,562
2010-8-30_3:8,478,41,53,0,563
2010-8-30_3:23,476,41,53,0,570
2010-8-30_3:38,472,41,53,0,569
2010-8-30_3:53,473,41,53,0,564
2010-8-30_4:8,473,41,53,0,564
2010-8-30_4:23,470,41,53,0,565
2010-8-30_4:38,468,41,53,0,568
2010-8-30_4:53,467,41,53,0,559
2010-8-30_5:8,465,41,53,0,566
2010-8-30_5:23,464,40,53,0,559
2010-8-30_5:38,463,41,53,0,563
2010-8-30_5:53,461,41,55,0,569
2010-8-30_6:8,460,41,71,0,565
2010-8-30_6:23,459,40,137,0,524
2010-8-30_6:38,457,40,235,0,510
2010-8-30_6:53,456,40,310,0,515
2010-8-30_7:8,454,40,367,0,518
2010-8-30_7:23,453,40,413,0,527
2010-8-30_7:38,452,40,441,0,503
2010-8-30_7:53,451,40,477,0,514
2010-8-30_8:8,449,41,512,0,510
2010-8-30_8:23,449,41,582,0,507
2010-8-30_8:38,451,41,779,0,518
2010-8-30_8:53,450,41,890,0,514
2010-8-30_9:8,448,43,892,0,511
2010-8-30_9:23,444,44,906,0,519
2010-8-30_9:38,441,45,907,0,514
2010-8-30_9:53,440,46,909,0,507
2010-8-30_10:8,438,46,901,0,513
2010-8-30_10:23,440,46,866,0,513
2010-8-30_10:38,447,45,813,0,511
2010-8-30_10:53,448,45,826,0,483
2010-8-30_11:8,448,45,887,0,487
2010-8-30_11:23,442,47,906,0,491
2010-8-30_11:38,432,49,906,0,497
2010-8-30_11:53,431,50,905,0,492
2010-8-30_12:8,431,51,900,0,484
2010-8-30_12:23,431,51,897,0,490
2010-8-30_12:38,433,52,892,0,507
2010-8-30_12:53,435,53,895,0,504
2010-8-30_13:8,439,52,895,0,496
2010-8-30_13:23,439,51,890,0,490
2010-8-30_13:38,439,51,884,0,486
2010-8-30_13:53,436,49,865,0,482
2010-8-30_14:8,435,49,848,0,480
2010-8-30_14:23,432,48,835,0,483
2010-8-30_14:38,428,48,827,0,476
2010-8-30_14:53,426,48,809,0,478
2010-8-30_15:8,423,48,792,0,474
2010-8-30_15:23,420,48,778,0,473
2010-8-30_15:38,417,47,765,0,481
2010-8-30_15:53,411,47,739,0,470
2010-8-30_16:8,409,47,728,0,475
2010-8-30_16:23,403,47,714,0,472
2010-8-30_16:38,404,47,739,0,473
2010-8-30_16:53,403,46,676,0,479
2010-8-30_17:8,398,46,659,0,471
2010-8-30_17:23,396,47,647,0,475
2010-8-30_17:38,396,46,631,0,473
2010-8-30_17:53,392,47,616,0,472
2010-8-30_18:8,375,46,578,0,466
2010-8-30_18:23,374,46,558,0,456
2010-8-30_18:38,374,46,575,0,471
2010-8-30_18:53,370,46,440,0,471
2010-8-30_19:8,370,46,337,0,463
2010-8-30_19:23,369,46,228,0,471
2010-8-30_19:38,368,46,127,0,465
2010-8-30_19:53,370,45,64,0,473
2010-8-30_20:8,368,45,49,0,470
2010-8-30_20:23,369,45,47,0,500
2010-8-30_20:38,368,45,47,0,501
2010-8-30_20:53,366,45,47,0,496
2010-8-30_21:8,365,45,47,0,493
2010-8-30_21:23,365,44,47,0,493
2010-8-30_21:38,363,44,48,0,497
2010-8-30_21:53,361,44,48,0,497
2010-8-30_22:8,360,44,48,0,491
2010-8-30_22:23,356,44,49,0,493
2010-8-30_22:38,356,45,49,0,499
2010-8-30_22:53,355,44,49,0,493
2010-8-30_23:8,355,44,49,0,498
2010-8-30_23:23,353,44,50,0,503
2010-8-30_23:38,351,44,50,0,493
2010-8-30_23:53,354,44,50,0,494
2010-8-31_0:8,350,44,50,0,500
2010-8-31_0:23,348,44,51,0,499
2010-8-31_0:38,346,44,51,0,499
2010-8-31_0:53,344,44,51,0,491
2010-8-31_1:8,345,44,51,0,504
2010-8-31_1:23,344,44,51,0,499
2010-8-31_1:38,343,44,51,0,504
2010-8-31_1:53,343,43,51,0,498
2010-8-31_2:8,341,43,51,0,498
2010-8-31_2:23,339,43,51,0,499
2010-8-31_2:38,339,43,52,0,495
2010-8-31_2:53,335,43,52,0,493
2010-8-31_3:8,334,43,52,0,498
2010-8-31_3:23,332,43,52,0,498
2010-8-31_3:38,331,43,52,0,494
2010-8-31_3:53,329,43,52,0,499
2010-8-31_4:8,330,43,52,0,487
2010-8-31_4:23,328,43,52,0,488
2010-8-31_4:38,326,42,52,0,493
2010-8-31_4:53,323,42,52,0,495
2010-8-31_5:8,323,43,52,0,491
2010-8-31_5:23,322,43,52,0,494
2010-8-31_5:38,322,43,52,0,493
2010-8-31_5:53,322,42,54,0,498
2010-8-31_6:8,320,42,69,0,493
2010-8-31_6:23,318,42,131,0,464
2010-8-31_6:38,317,42,229,0,477
2010-8-31_6:53,315,42,318,0,464
2010-8-31_7:8,313,42,401,0,467
2010-8-31_7:23,312,42,460,0,465
2010-8-31_7:38,312,43,503,0,464
2010-8-31_7:53,310,42,543,0,461
2010-8-31_8:8,310,43,574,0,461
2010-8-31_8:23,312,42,625,0,471
2010-8-31_8:38,311,43,790,0,474
2010-8-31_8:53,308,43,870,0,472
2010-8-31_9:8,299,45,879,0,463
2010-8-31_9:23,295,45,894,0,466
2010-8-31_9:38,290,46,900,0,451
2010-8-31_9:53,288,47,897,0,460
2010-8-31_10:8,288,47,889,0,457
2010-8-31_10:23,291,47,846,0,458
2010-8-31_10:38,296,47,818,0,459
2010-8-31_10:53,297,47,839,0,466
2010-8-31_11:8,297,47,871,0,464
2010-8-31_11:23,295,48,900,0,464
2010-8-31_11:38,287,50,901,0,480
2010-8-31_11:53,287,51,902,0,469
2010-8-31_12:8,281,52,903,0,464
2010-8-31_12:23,282,52,906,0,465
2010-8-31_12:38,283,54,903,0,464
2010-8-31_12:53,286,54,901,0,463
2010-8-31_13:8,289,53,710,0,458
2010-8-31_13:23,292,52,895,0,450
2010-8-31_13:38,292,52,898,0,458
2010-8-31_13:53,292,51,839,0,449
2010-8-31_14:8,294,51,795,0,457
2010-8-31_14:23,293,50,846,0,438
2010-8-31_14:38,291,50,853,0,439
2010-8-31_14:53,289,49,708,0,438
2010-8-31_15:8,288,49,803,0,444
2010-8-31_15:23,288,50,805,0,445
2010-8-31_15:38,284,49,796,0,425
2010-8-31_15:53,283,50,778,0,443
2010-8-31_16:8,279,50,733,0,438
2010-8-31_16:23,279,49,725,0,433
2010-8-31_16:38,281,49,725,0,441
2010-8-31_16:53,277,49,704,0,418
2010-8-31_17:8,277,52,667,0,433
2010-8-31_17:23,276,53,675,0,447
2010-8-31_17:38,274,53,644,0,446
2010-8-31_17:53,272,51,625,0,416
2010-8-31_18:8,272,53,588,0,428
2010-8-31_18:23,270,53,534,0,430
2010-8-31_18:38,270,52,500,0,384
2010-8-31_18:53,269,52,404,0,395
2010-8-31_19:8,270,52,314,0,428
2010-8-31_19:23,270,52,209,0,422
2010-8-31_19:38,262,51,112,0,419
2010-8-31_19:53,262,51,59,0,428
2010-8-31_20:8,261,51,47,0,462
2010-8-31_20:23,260,51,46,0,470
2010-8-31_20:38,260,51,46,0,476
2010-8-31_20:53,258,50,46,0,475
2010-8-31_21:8,258,50,56,0,469
2010-8-31_21:23,259,50,57,0,479
2010-8-31_21:38,257,50,57,0,483
2010-8-31_21:53,256,50,57,0,476
2010-8-31_22:8,256,50,47,0,471
2010-8-31_22:23,255,50,47,0,482
2010-8-31_22:38,254,49,48,0,477
2010-8-31_22:53,258,46,50,0,477
2010-8-31_23:8,253,46,50,0,474
2010-8-31_23:23,258,46,50,0,470
2010-8-31_23:38,253,46,50,0,469
2010-8-31_23:53,253,45,50,0,475
2010-9-1_0:8,252,46,51,0,471
2010-9-1_0:23,252,45,51,0,469
2010-9-1_0:38,252,45,51,0,477
2010-9-1_0:53,252,45,51,0,475
2010-9-1_1:8,252,45,52,0,473
2010-9-1_1:23,250,45,51,0,471
2010-9-1_1:38,249,45,52,0,474
2010-9-1_1:53,248,45,52,0,472
2010-9-1_2:8,248,45,52,0,472
2010-9-1_2:23,246,44,52,0,463
2010-9-1_2:38,246,45,52,0,469
2010-9-1_2:53,244,44,52,0,468
2010-9-1_3:8,244,44,52,0,469
2010-9-1_3:23,242,44,53,0,466
2010-9-1_3:38,242,44,53,0,468
2010-9-1_3:53,240,44,53,0,467
2010-9-1_4:8,240,44,53,0,463
2010-9-1_4:23,237,44,53,0,467
2010-9-1_4:38,237,44,53,0,469
2010-9-1_4:53,237,44,53,0,468
2010-9-1_5:8,236,44,53,0,468
2010-9-1_5:23,239,43,53,0,466
2010-9-1_5:38,234,44,53,0,470
2010-9-1_5:53,232,43,54,0,471
2010-9-1_6:8,233,43,67,0,469
2010-9-1_6:23,231,43,123,0,477
2010-9-1_6:38,230,43,223,0,469
2010-9-1_6:53,231,44,331,0,417
2010-9-1_7:8,227,43,407,0,429
2010-9-1_7:23,223,44,464,0,428
2010-9-1_7:38,223,43,511,0,420
2010-9-1_7:53,223,44,554,0,411
2010-9-1_8:8,222,44,592,0,420
2010-9-1_8:23,226,44,641,0,418
2010-9-1_8:38,221,44,773,0,403
2010-9-1_8:53,219,45,846,0,410
2010-9-1_9:8,216,45,856,0,407
2010-9-1_9:23,210,46,874,0,405
2010-9-1_9:38,209,47,871,0,406
2010-9-1_9:53,208,48,884,0,412
2010-9-1_10:8,206,48,873,0,410
2010-9-1_10:23,211,48,831,0,411
2010-9-1_10:38,211,47,822,0,408
2010-9-1_10:53,213,47,839,0,405
2010-9-1_11:8,213,48,870,0,391
2010-9-1_11:23,212,48,887,0,410
2010-9-1_11:38,209,50,865,0,393
2010-9-1_11:53,210,49,886,0,405
2010-9-1_12:8,208,51,892,0,400
2010-9-1_12:23,207,51,861,0,392
2010-9-1_12:38,207,52,890,0,398
2010-9-1_12:53,208,53,890,0,404
2010-9-1_13:8,205,53,887,0,393
2010-9-1_13:23,206,52,878,0,396
2010-9-1_13:38,206,51,877,0,401
2010-9-1_13:53,208,51,865,0,398
2010-9-1_14:8,209,51,857,0,394
2010-9-1_14:23,209,51,847,0,385
2010-9-1_14:38,208,51,835,0,397
2010-9-1_14:53,210,50,818,0,388
2010-9-1_15:8,209,49,806,0,385
2010-9-1_15:23,211,50,790,0,380
2010-9-1_15:38,210,50,771,0,396
2010-9-1_16:5,209,49,740,0,383
2010-9-1_16:20,208,49,729,0,380
2010-9-1_16:35,204,49,714,0,385
2010-9-1_16:50,204,49,702,0,386
2010-9-1_17:5,204,49,679,0,384
2010-9-1_17:20,203,49,669,0,397
2010-9-1_17:35,204,49,640,0,383
2010-9-1_17:50,204,49,617,0,388
2010-9-1_18:5,204,48,576,0,386
2010-9-1_18:20,203,49,540,0,395
2010-9-1_18:35,204,49,497,0,374
2010-9-1_18:50,204,48,427,0,379
2010-9-1_19:5,198,48,323,1,433
2010-9-1_19:20,195,48,221,1,445
2010-9-1_19:35,197,48,126,1,530
2010-9-1_19:50,199,48,67,1,575
2010-9-1_20:5,221,48,54,1,602
2010-9-1_20:20,279,47,53,1,601
2010-9-1_20:35,364,47,50,0,602
2010-9-1_20:50,378,47,49,0,603
2010-9-1_21:5,400,47,50,0,599
2010-9-1_21:20,407,46,51,0,597
2010-9-1_21:35,417,46,51,0,592
2010-9-1_21:50,422,46,52,0,591
2010-9-1_22:5,427,46,52,0,596
2010-9-1_22:20,430,46,52,0,592
2010-9-1_22:35,435,46,52,0,592
2010-9-1_22:50,437,46,52,0,594
2010-9-1_23:5,439,46,52,0,592
2010-9-1_23:20,439,45,52,0,588
2010-9-1_23:35,440,45,52,0,584
2010-9-1_23:50,438,45,52,0,591
2010-9-2_0:5,440,46,52,0,587
2010-9-2_0:20,442,45,52,0,587
2010-9-2_0:35,443,45,52,0,588
2010-9-2_0:50,441,45,52,0,585
2010-9-2_1:5,447,45,52,0,586
2010-9-2_1:20,445,45,52,0,588
2010-9-2_1:35,446,45,52,0,581
2010-9-2_1:50,446,45,52,0,580
2010-9-2_2:5,448,45,52,0,586
2010-9-2_2:20,449,45,52,0,591
2010-9-2_2:35,450,45,53,0,582
2010-9-2_2:50,448,44,53,0,582
2010-9-2_3:5,450,45,53,0,580
2010-9-2_3:20,449,45,53,0,584
2010-9-2_3:35,450,44,53,0,585
2010-9-2_3:50,451,44,53,0,584
2010-9-2_4:5,451,44,54,0,584
2010-9-2_4:20,449,44,53,0,586
2010-9-2_4:35,447,44,53,0,579
2010-9-2_4:50,448,44,53,0,577
2010-9-2_5:5,451,44,54,0,582
2010-9-2_5:20,450,44,54,0,577
2010-9-2_5:35,450,44,54,0,576
2010-9-2_5:50,449,43,54,0,581
2010-9-2_6:5,446,43,60,0,576
2010-9-2_6:20,450,44,104,0,581
2010-9-2_6:35,448,44,191,0,576
2010-9-2_6:50,446,43,290,0,524
2010-9-2_7:5,446,44,370,0,528
2010-9-2_7:20,446,44,432,0,522
2010-9-2_7:35,446,44,473,0,527
2010-9-2_7:50,444,43,508,0,520
2010-9-2_8:5,444,44,545,0,525
2010-9-2_8:20,439,44,607,0,535
2010-9-2_8:35,441,43,743,0,538
2010-9-2_8:50,437,44,857,0,538
2010-9-2_9:5,435,44,881,0,530
2010-9-2_9:20,428,45,893,0,543
2010-9-2_9:35,428,46,899,0,548
2010-9-2_9:50,425,47,895,0,532
2010-9-2_10:5,425,47,882,0,536
2010-9-2_10:20,427,47,834,0,538
2010-9-2_10:35,432,46,813,0,534
2010-9-2_10:50,434,46,821,0,545
2010-9-2_11:5,434,46,854,0,545
2010-9-2_11:20,427,48,886,0,555
2010-9-2_11:35,418,50,897,0,537
2010-9-2_11:50,414,51,900,0,549
2010-9-2_12:5,413,52,902,0,539
2010-9-2_12:20,414,53,903,0,532
2010-9-2_12:35,416,53,905,0,537
2010-9-2_12:50,419,53,906,0,536
2010-9-2_13:5,420,53,909,0,526
2010-9-2_13:20,428,51,907,0,525
2010-9-2_13:35,429,50,897,0,535
2010-9-2_13:50,430,50,896,0,533
2010-9-2_14:5,428,50,845,0,529
2010-9-2_14:20,427,50,846,0,532
2010-9-2_14:35,428,49,823,0,536
2010-9-2_14:50,424,49,834,0,515
2010-9-2_15:5,424,49,801,0,528
2010-9-2_15:20,419,49,784,0,520
2010-9-2_15:35,420,49,744,0,507
2010-9-2_15:50,418,48,755,0,502
2010-9-2_16:5,416,48,741,0,515
2010-9-2_16:20,415,48,720,0,511
2010-9-2_16:35,412,48,680,0,498
2010-9-2_16:50,410,48,739,0,494
2010-9-2_17:5,410,48,686,0,497
2010-9-2_17:20,407,48,640,0,502
2010-9-2_17:35,407,48,644,0,491
2010-9-2_17:50,404,47,638,0,499
2010-9-2_18:5,404,47,572,0,489
2010-9-2_18:20,400,48,591,0,486
2010-9-2_18:35,400,47,495,0,487
2010-9-2_18:50,400,47,391,0,478
2010-9-2_19:5,400,47,349,0,483
2010-9-2_19:20,399,47,245,0,537
2010-9-2_19:35,400,47,133,0,540
2010-9-2_19:50,398,46,63,0,536
2010-9-2_20:5,398,46,52,0,534
2010-9-2_20:20,396,46,51,0,538
2010-9-2_20:35,397,46,51,0,539
2010-9-2_20:50,396,46,51,0,539
2010-9-2_21:5,394,46,51,0,539
2010-9-2_21:20,392,46,52,0,533
2010-9-2_21:35,392,46,52,0,528
2010-9-2_21:50,393,46,51,0,539
2010-9-2_22:5,389,46,50,0,539
2010-9-2_22:20,390,45,50,0,527
2010-9-2_22:35,390,45,50,0,529
2010-9-2_22:50,390,45,50,0,528
2010-9-2_23:5,388,45,50,0,528
2010-9-2_23:20,394,45,50,0,533
2010-9-2_23:35,391,44,50,0,528
2010-9-2_23:50,392,45,51,0,528
2010-9-3_0:5,389,45,50,0,533
2010-9-3_0:20,388,44,50,0,533
2010-9-3_0:35,386,44,50,0,528
2010-9-3_0:50,385,44,50,0,528
2010-9-3_1:5,386,44,50,0,527
2010-9-3_1:20,384,44,51,0,529
2010-9-3_1:35,384,44,51,0,530
2010-9-3_1:50,382,44,51,0,529
2010-9-3_2:5,382,44,51,0,530
2010-9-3_2:20,381,43,51,0,529
2010-9-3_2:35,380,44,51,0,527
2010-9-3_2:50,378,44,51,0,523
2010-9-3_3:5,376,43,51,0,527
2010-9-3_3:20,376,44,51,0,534
2010-9-3_3:35,375,43,51,0,528
2010-9-3_3:50,373,43,51,0,527
2010-9-3_4:5,374,43,51,0,528
2010-9-3_4:20,372,43,51,0,527
2010-9-3_4:35,369,43,51,0,528
2010-9-3_4:50,368,43,52,0,523
2010-9-3_5:5,366,43,51,0,523
2010-9-3_5:20,365,43,52,0,529
2010-9-3_5:35,366,43,52,0,528
2010-9-3_5:50,366,43,52,0,529
2010-9-3_6:5,365,43,56,0,527
2010-9-3_6:20,367,42,80,0,522
2010-9-3_6:35,361,42,135,0,523
2010-9-3_6:50,358,43,225,0,527
2010-9-3_7:5,355,42,285,0,485
2010-9-3_7:20,355,43,400,0,481
2010-9-3_7:35,355,42,503,0,480
2010-9-3_7:50,354,42,521,0,479
2010-9-3_8:5,353,43,543,0,472
2010-9-3_8:20,352,42,639,0,478
2010-9-3_8:35,351,43,624,0,473
2010-9-3_8:50,350,43,625,0,473
2010-9-3_9:5,351,43,665,0,479
2010-9-3_9:20,351,43,679,0,486
2010-9-3_9:35,349,43,692,0,473
2010-9-3_9:50,350,44,719,0,482
2010-9-3_10:5,349,43,672,0,481
2010-9-3_10:20,349,43,668,0,472
2010-9-3_10:35,348,44,643,0,477
2010-9-3_10:50,348,43,687,0,470
2010-9-3_11:5,352,44,730,0,474
2010-9-3_11:20,351,44,724,0,470
2010-9-3_11:35,350,44,674,0,476
2010-9-3_11:50,351,44,599,0,475
2010-9-3_12:5,351,44,584,0,475
2010-9-3_12:20,350,43,645,0,472
2010-9-3_12:35,348,43,679,0,480
2010-9-3_12:50,349,44,710,0,470
2010-9-3_13:5,346,44,718,0,472
2010-9-3_13:20,345,44,732,0,471
2010-9-3_13:35,344,44,698,0,474
2010-9-3_13:50,343,44,698,0,472
2010-9-3_14:5,343,44,693,0,471
2010-9-3_14:20,341,44,699,0,469
2010-9-3_14:35,342,44,737,0,471
2010-9-3_14:50,341,44,752,0,471
2010-9-3_15:5,339,44,776,0,472
2010-9-3_15:20,335,44,794,0,472
2010-9-3_15:35,334,45,794,0,469
2010-9-3_15:50,322,45,783,0,471
2010-9-3_16:5,320,45,722,0,470
2010-9-3_16:20,318,44,758,0,471
2010-9-3_16:35,318,45,750,0,470
2010-9-3_16:50,317,45,668,0,460
2010-9-3_17:5,318,45,632,0,465
2010-9-3_17:20,318,45,648,0,468
2010-9-3_17:35,318,45,665,0,467
2010-9-3_17:50,317,44,633,0,468
2010-9-3_18:5,317,45,666,0,468
2010-9-3_18:20,316,45,598,0,468
2010-9-3_18:35,316,44,492,0,462
2010-9-3_18:50,316,45,412,0,464
2010-9-3_19:5,317,45,359,0,473
2010-9-3_19:20,317,44,251,0,493
2010-9-3_19:35,318,44,147,0,494
2010-9-3_19:50,320,44,65,0,494
2010-9-3_20:5,321,44,54,0,496
2010-9-3_20:20,320,44,53,0,490
2010-9-3_20:35,321,44,52,0,497
2010-9-3_20:50,324,44,53,0,505
2010-9-3_21:5,323,43,52,0,507
2010-9-3_21:20,323,44,53,0,503
2010-9-3_21:35,323,43,53,0,509
2010-9-3_21:50,323,43,53,0,508
2010-9-3_22:5,325,43,53,0,512
2010-9-3_22:20,323,43,53,0,516
2010-9-3_22:35,324,43,53,0,514
2010-9-3_22:50,323,43,53,0,523
2010-9-3_23:5,321,43,53,0,524
2010-9-3_23:20,320,43,53,0,522
2010-9-3_23:35,320,43,53,0,519
2010-9-3_23:50,318,43,54,0,523
2010-9-4_0:5,318,43,54,0,519
2010-9-4_0:20,317,43,55,0,519
2010-9-4_0:35,315,43,55,0,515
2010-9-4_0:50,315,43,55,0,518
2010-9-4_1:5,315,43,55,0,516
2010-9-4_1:20,315,43,54,0,513
2010-9-4_1:35,314,43,54,0,512
2010-9-4_1:50,314,43,53,0,516
2010-9-4_2:5,313,42,53,0,518
2010-9-4_2:20,314,42,53,0,514
2010-9-4_2:35,312,42,53,0,513
2010-9-4_2:50,310,42,53,0,514
2010-9-4_3:5,309,42,53,0,511
2010-9-4_3:20,308,42,52,0,510
2010-9-4_3:35,307,42,53,0,510
2010-9-4_3:50,307,42,53,0,511
2010-9-4_4:5,305,42,53,0,509
2010-9-4_4:20,304,41,53,0,512
2010-9-4_4:35,303,42,53,0,513
2010-9-4_4:50,303,41,53,0,511
2010-9-4_5:5,302,41,53,0,512
2010-9-4_5:20,301,41,53,0,506
2010-9-4_5:35,302,41,53,0,510
2010-9-4_5:50,301,41,53,0,511
2010-9-4_6:5,301,41,56,0,508
2010-9-4_6:20,300,41,81,0,507
2010-9-4_6:35,299,41,179,0,508
2010-9-4_6:50,298,41,262,0,469
2010-9-4_7:5,295,40,315,0,471
2010-9-4_7:20,294,41,359,0,472
2010-9-4_7:35,295,40,389,0,473
2010-9-4_7:50,293,41,409,0,470
2010-9-4_8:5,293,41,450,0,471
2010-9-4_8:20,293,40,579,0,470
2010-9-4_8:35,292,40,772,0,469
2010-9-4_8:50,291,42,857,0,468
2010-9-4_9:5,286,42,883,0,470
2010-9-4_9:20,284,42,884,0,470
2010-9-4_9:35,280,43,890,0,469
2010-9-4_9:50,278,44,893,0,473
2010-9-4_10:5,274,45,828,0,463
2010-9-4_10:20,276,44,812,0,473
2010-9-4_10:35,283,43,806,0,472
2010-9-4_11:8,286,42,862,0,463
2010-9-4_11:23,284,45,890,0,470
2010-9-4_11:38,273,46,900,0,471
2010-9-4_11:53,271,48,898,0,470
2010-9-4_12:8,271,47,749,0,464
2010-9-4_12:23,276,47,699,0,464
2010-9-4_12:38,275,46,878,0,471
2010-9-4_12:53,277,47,768,0,448
2010-9-4_13:8,277,46,765,0,451
2010-9-4_13:23,278,45,754,0,459
2010-9-4_13:38,277,45,759,0,452
2010-9-4_13:53,277,45,723,0,453
2010-9-4_14:8,274,45,740,0,451
2010-9-4_14:23,275,44,702,0,454
2010-9-4_14:38,276,44,663,0,450
2010-9-4_14:53,276,44,689,0,450
2010-9-4_15:8,278,44,822,0,441
